# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.102854
# Diagonal elements of inverse mass matrix:
# 0.0158563, 0.0111864, 0.0159231, 0.0154743, 0.0152284, 0.0689109, 0.0703263, 0.0530629, 0.31438, 0.333527, 0.318299, 0.278922, 0.242557, 0.242917, 0.325902, 0.325166, 0.295688, 0.348366, 0.58639
-309.254,0.930507,0.102854,5,31,0,317.976,0.0771477,0.186562,-0.499128,0.104299,0.388512,1.22334,0.88068,1.08364,0.0301057,0.236588,0.267533,-1.22592,-0.660247,1.00494,-0.44814,-1.239,1.33794,-0.576656,-1.61607
-310.075,0.981647,0.102854,6,95,0,319.364,0.258082,-0.000311627,-0.544851,-0.270069,0.326562,1.51387,0.794444,0.997493,-0.0546489,-0.32503,0.072193,-1.12151,-1.58784,0.389356,-1.37037,-1.43528,0.947043,-0.00483186,-0.761967
-309.155,0.876569,0.102854,5,31,0,318.509,0.271655,0.0820709,-0.351931,0.00217588,0.416821,1.17057,1.06163,0.626475,0.170492,0.147538,0.0706071,-1.16535,-0.534053,0.807856,-0.301814,-1.1105,0.960766,-0.551561,-1.17478
-310.56,0.999991,0.102854,5,31,0,315.794,-0.0321255,0.085631,-0.63894,-0.170399,0.318521,1.48771,1.01909,1.06269,-1.12883,-0.860795,-0.735683,-1.32381,-0.962779,0.856715,-0.503444,-0.970751,1.32281,-0.202625,-0.551747
-313.276,0.709351,0.102854,6,63,0,324.395,0.10464,0.176529,-0.629517,-0.157083,0.520498,1.95233,0.868007,0.946512,-0.193864,-0.758854,-0.0447388,-1.54996,-1.58299,-0.0651395,-0.814128,-1.49433,1.15139,-0.0167731,-0.6416
-307.136,0.979191,0.102854,6,63,0,319.503,0.241541,-0.0668043,-0.495198,-0.195834,0.362428,1.1624,1.07748,0.904479,-0.0677252,-0.0265062,0.173814,-1.35301,-1.14089,0.558703,-0.518725,-1.29667,0.841239,-0.951644,-0.692626
-306.548,0.977107,0.102854,6,63,0,315.927,0.0445478,0.0456319,-0.475821,-0.248753,0.499029,1.04479,0.899917,0.742588,-0.593675,-0.953928,-0.614863,-0.586348,-0.425595,1.14208,-0.135576,-1.28599,0.988564,-0.783851,-0.583464
-310.211,0.991073,0.102854,6,63,0,315.584,0.309679,0.0843396,-0.474466,-0.114835,0.230173,1.3795,1.1212,0.83441,0.0342385,-0.217182,-0.3142,-0.436326,0.0333383,1.85692,0.0940734,-1.23041,1.30961,-0.250015,-2.28287
-311.233,0.881736,0.102854,6,63,0,316.69,0.0076966,0.0909463,-0.457036,-0.175363,0.519319,1.17962,0.944836,1.0058,-0.950741,-0.414352,-0.472227,-1.14426,-0.557154,0.913414,-0.820539,-1.46218,0.665672,-1.43905,-0.057146
-316.223,0.998528,0.102854,6,63,0,322.007,0.323916,-0.03518,-0.545485,-0.0527905,0.253528,1.31191,0.91171,1.23641,-1.17359,-0.743038,-0.874678,-0.285054,-0.583051,1.14516,0.569422,-1.16091,1.32319,1.0899,-1.12634
-318.433,0.87691,0.102854,6,63,0,328.609,-0.00567602,0.106179,-0.553031,-0.149334,0.590276,1.50456,1.5017,0.407043,0.0449734,-0.518899,-0.265766,-1.39062,-1.71848,0.12902,-0.90435,-1.85944,0.693635,-0.00595354,-0.249501
-317.061,0.999111,0.102854,5,31,0,327.303,0.286016,0.00419792,-0.377263,-0.159402,0.384325,1.0575,0.667535,1.37948,-1.18841,-0.886459,-0.556144,-1.52347,-1.76821,0.169843,-0.766807,-1.74917,0.346222,-0.801339,1.10847
-315.332,0.999493,0.102854,6,63,0,323.005,0.183501,0.201387,-0.295012,-0.288012,0.396102,1.32596,0.536825,0.812078,0.609727,0.0873157,0.171618,-0.216646,-0.126447,1.36086,0.00474941,-0.658976,1.4037,0.033414,-2.64604
-314.626,0.9997,0.102854,5,31,0,321.441,0.190391,0.27446,-0.304238,-0.274158,0.457008,1.40996,0.473651,0.792128,0.0191637,0.264822,0.247245,-0.191301,0.320239,1.519,0.0832324,-0.914882,1.37125,0.179833,-2.46916
-311.35,0.978218,0.102854,5,31,0,320.424,0.188223,0.21187,-0.543538,-0.15638,0.495612,1.16801,0.729993,0.701962,0.613268,0.0481119,0.563115,-0.191292,0.020727,1.86811,0.170205,-0.932879,1.46172,-0.187754,-2.74703
-313.191,0.961028,0.102854,5,63,0,321.811,0.208222,0.233882,-0.537454,-0.193697,0.444116,1.12948,0.802857,0.719946,0.22077,0.348709,0.581481,-0.413043,-0.110509,1.63045,-0.409654,-0.804354,1.77299,-0.450659,-2.67852
-317.138,0.959746,0.102854,6,63,0,330.212,0.439134,0.126345,-0.378754,0.0132322,0.523774,0.91594,0.960644,0.963746,1.10183,0.977801,0.95541,-0.426692,-0.51457,1.11379,-0.194031,-1.61181,0.127841,-0.694767,-1.84961
-314.1,1,0.102854,5,31,0,321.002,0.268781,0.111427,-0.537768,0.05252,0.538153,1.13285,1.01063,0.735865,1.13487,1.25982,1.18799,-0.557124,-0.526763,1.34135,-0.266458,-2.20151,0.738759,-1.05777,-1.9276
-312.091,0.986385,0.102854,6,63,0,324.551,-0.0329521,-0.030899,-0.450406,-0.277658,0.322708,1.46745,1.02966,1.02126,-1.43058,-1.61791,-1.23294,-0.407874,-0.12423,1.39917,0.228843,-1.18811,1.69094,-0.0909552,-1.02897
-310.337,0.984629,0.102854,5,31,0,319.426,0.327109,0.101124,-0.274649,-0.0560316,0.362332,1.50571,1.34182,0.906785,-1.51695,-1.47284,-1.33668,-0.591072,-0.301152,1.22838,0.23961,-0.93986,1.19374,0.197603,-0.777289
-313.866,0.986839,0.102854,5,31,0,323.301,0.00642241,0.00255831,-0.557757,-0.117375,0.570344,1.01024,0.937395,1.4485,-1.13515,-0.73362,-0.65922,-0.618843,-0.714381,0.862534,-0.607827,0.0619002,2.18913,0.278671,-1.53737
-317.814,0.940219,0.102854,5,31,0,327.956,0.194192,0.12395,-0.950754,0.10153,0.331386,1.34541,1.06348,0.767198,-0.584145,-1.10395,-0.390908,-0.449407,-0.290083,1.40497,0.0315397,-1.19243,1.21536,0.404178,-1.24391
-315.247,0.999838,0.102854,5,31,0,323.317,0.0234693,0.123012,-0.175456,-0.309347,0.462437,1.23434,0.964688,1.25934,0.00930443,-0.068344,0.285525,-0.693368,-0.172632,0.909416,-0.232745,-0.822237,1.51804,-0.511933,-2.12758
-311.434,0.996725,0.102854,5,31,0,319.751,0.195677,-0.0250845,-0.563646,-0.123524,0.314663,1.50863,1.57858,0.744982,-0.1413,-0.385267,0.158346,-0.301769,-0.423648,1.1781,-0.0205293,-2.41788,0.279772,-0.535168,-1.01471
-310.408,0.984203,0.102854,5,63,0,321.13,0.063036,-0.0467724,-0.547038,-0.0785958,0.458986,1.53015,1.65446,1.05787,-0.203792,-0.375056,-0.401985,-0.575712,-0.49927,1.10205,-0.224488,-1.92591,0.407957,-0.927266,-1.06465
-312.138,0.77685,0.102854,5,31,0,318.873,0.365874,-0.00108733,-0.27848,-0.113721,0.329789,0.807399,0.939293,0.946316,-0.201938,-0.717034,-0.496843,-0.751386,-0.291607,1.26563,-0.206459,-1.24119,0.727407,-0.252093,-0.675477
-311.568,0.997024,0.102854,5,31,0,318.922,0.35324,0.075293,-0.257426,-0.170645,0.306891,1.26986,1.19344,0.831771,-0.587041,-0.244744,-0.447397,-0.35346,-0.808622,0.933902,-0.0853348,-1.75778,0.894269,-0.263548,-0.544664
-310.972,0.825687,0.102854,6,95,0,323.149,0.102181,0.190982,-0.711431,-0.179422,0.606209,1.37485,0.826095,0.812527,-0.408217,-0.772582,-0.368791,-0.960375,-0.659457,0.894079,-0.103375,-0.940061,1.19497,-0.392452,-1.2842
-313.58,0.996812,0.102854,5,31,0,320.567,0.0322819,0.169649,-0.641731,-0.0379516,0.741315,1.14314,1.38059,1.21902,-0.572945,-0.374432,-0.19253,-0.484117,-0.927077,1.04232,-0.457546,-0.974885,1.20336,-0.604661,-1.32536
-312.385,0.997309,0.102854,5,63,0,319.73,-0.0306724,0.224121,-0.668928,-0.0789295,0.722277,1.18533,1.32507,1.16521,-0.288861,-0.562306,-0.119004,-0.590061,-0.595681,1.17087,-0.266166,-0.911698,1.144,-0.879913,-1.4101
-314.059,0.838211,0.102854,5,63,0,324.405,-0.0236294,0.275206,-0.645078,-0.150522,0.767737,1.28436,1.20046,1.02811,-0.585716,-0.913451,-0.41514,-0.416695,-0.725691,0.782248,-0.835027,-1.01627,1.43405,-0.344692,-1.19592
-311.506,0.917694,0.102854,5,31,0,321.504,0.0998921,0.0655208,-0.566735,-0.163307,0.67713,1.12712,1.51658,0.827589,-0.78941,-0.555749,-0.375461,-1.00171,-1.02672,0.940401,-0.20391,-0.849799,1.10311,-0.374046,-0.786583
-309.508,0.99146,0.102854,5,63,0,322.355,0.335978,-0.0317514,-0.341304,-0.197404,0.193261,1.43859,0.766225,1.05133,0.130595,-0.403222,0.213529,-0.403496,-0.328553,1.20173,-0.315934,-1.90401,0.518778,-0.595955,-1.31935
-310.047,0.936178,0.102854,5,63,0,318.06,0.126038,0.0860813,-0.537274,0.0329863,0.561754,1.03095,1.29448,0.99229,-0.539081,-0.479164,-0.111942,-1.27757,-1.16608,0.247559,-1.0795,-1.44966,1.25361,-0.145578,-0.262025
-311.784,0.899574,0.102854,5,63,0,324.927,0.309296,-0.0580328,-0.583496,0.0828038,0.376382,1.37955,1.35292,1.3004,-1.20826,-1.12763,-1.02416,-0.934871,-1.14837,0.775408,-0.700151,-2.13278,0.671614,-1.11356,0.296386
-314.322,0.964871,0.102854,6,63,0,325.15,0.211455,-0.226804,-0.561497,-0.104076,0.485293,1.39713,0.779765,1.3265,-1.04313,-1.27424,-0.800208,-1.02353,-0.967839,0.55233,-0.262027,-1.17739,0.885505,-1.21557,-0.151308
-313.154,0.931351,0.102854,5,31,0,322.258,0.233852,-0.150818,-0.586611,0.0268384,0.355178,1.13198,0.953368,1.53216,-0.287201,-0.467885,-0.542211,-0.987633,-0.871845,0.737006,-0.225931,-1.92278,0.553005,-0.167309,-0.459647
-314.244,0.964887,0.102854,5,63,0,323.321,0.395211,0.265193,-0.519603,0.151255,0.330117,1.66024,1.22668,0.987717,-0.0980977,-0.793079,-0.328478,-0.782385,-0.369136,1.20795,-0.630249,-1.77094,0.834251,-1.19029,-1.23986
-313.781,0.983222,0.102854,5,63,0,325.356,0.33013,0.0458143,-0.484675,0.060169,0.381549,1.52231,0.752222,0.826234,0.0372852,0.759993,0.625785,-1.00311,-1.30372,0.619145,-0.948184,-1.57089,0.944228,0.0767328,-1.14587
-310.898,0.998865,0.102854,6,63,0,322.054,-0.0279261,0.0489218,-0.578176,-0.202043,0.491939,0.958105,1.49302,0.727447,-0.358821,-0.332617,0.0756999,-0.635332,-0.185517,1.69806,0.00132975,-2.03433,0.441652,-0.601194,-0.91243
-308.134,0.999837,0.102854,5,31,0,316.107,0.183071,0.170009,-0.535262,-0.111763,0.455415,1.10739,0.828496,1.32286,-0.34224,-0.270112,-0.0117843,-0.844792,-0.697883,1.12633,-0.243091,-1.47454,0.881045,-0.43323,-0.920685
-312.475,0.984913,0.102854,5,63,0,323.553,0.235534,0.00120282,-0.113826,-0.214803,0.447439,1.1752,1.12671,1.07687,0.0496806,0.00397295,-0.298206,-0.706935,-0.851005,0.520719,-0.367885,-1.57314,0.579972,-1.06227,-0.741079
-315.944,0.861218,0.102854,5,31,0,324.644,0.124729,0.0531945,-0.0177392,-0.254916,0.391837,1.11597,1.21346,0.850976,-0.0663836,0.152931,0.185171,-0.971035,-1.13981,0.663362,-0.419878,-1.86641,0.689282,-1.05498,-0.670322
-318.868,0.998887,0.102854,5,31,0,323.337,0.174692,-0.00920066,-0.87166,-0.0124953,0.338194,1.11676,0.943268,1.0779,0.021128,-0.218724,0.250717,-0.186404,-1.10905,1.02905,-0.323937,-0.672636,1.71497,-0.0883456,-2.1166
-319.729,0.974227,0.102854,5,31,0,328.815,0.06121,0.155287,-0.0578435,-0.139464,0.433294,1.56584,1.04056,0.567546,-0.0571485,0.236296,0.28249,-0.283244,-0.929431,1.21947,-0.701158,-0.957592,1.44211,0.179014,-1.9061
-319.404,0.986741,0.102854,5,31,0,326.723,0.24182,-0.073648,-0.757156,-0.114245,0.40041,1.09837,1.1356,1.15664,0.0585425,-0.423415,0.0172563,-1.36632,-2.21534,0.102415,-0.705807,-1.82375,0.588033,-1.50726,0.136454
-312.575,0.998636,0.102854,5,31,0,327.071,0.0283598,0.181227,-0.176825,-0.13808,0.411016,1.13526,1.22696,0.83512,-0.236861,-0.0669006,0.125704,-0.743871,-1.13522,0.544822,-1.42064,-1.34587,1.17164,-0.0593148,-0.863633
-312.017,0.976653,0.102854,5,31,0,324.812,0.147454,0.0701766,-0.609564,0.063095,0.378112,1.71581,0.672099,1.03624,0.0207369,0.173036,0.133761,-1.99303,-1.36448,0.420887,-0.512256,-1.89274,0.781177,-0.533369,-0.756294
-313.543,0.942177,0.102854,5,63,0,327.795,0.0945557,0.119765,-0.452404,-0.366871,0.404698,0.953001,1.14942,1.03534,-0.88653,-0.811766,-0.446103,-0.134147,0.4162,1.50921,-0.564891,-0.567766,1.67146,0.179778,-1.68326
-312.8,0.883823,0.102854,5,31,0,325.424,-0.186602,0.148399,-0.559196,-0.295683,0.408943,0.844918,0.878561,1.0377,-0.455806,-0.680881,-0.210995,-0.476898,-0.469852,1.33263,0.481676,-0.813819,1.60261,0.164434,-1.59587
-308.671,0.99579,0.102854,5,31,0,322.994,0.123165,0.126897,-0.37963,-0.345469,0.583896,1.01948,1.10212,0.769521,0.219646,-0.133695,0.184209,-0.825914,-0.297891,1.2915,-0.311672,-1.44122,0.963935,-0.462436,-1.40436
-312.762,0.876962,0.102854,5,31,0,317.874,0.085465,0.143817,-0.46706,-0.21665,0.3028,1.91823,1.38217,0.449497,-0.239693,-0.52842,0.00646746,-0.219746,-0.481584,1.07696,-0.238814,-1.49613,1.3176,-0.303942,-1.74806
-310.401,1,0.102854,5,31,0,316.654,0.158416,0.00404513,-0.437415,-0.221533,0.667106,0.946248,0.68156,1.04148,-0.360155,-0.617113,-0.331966,-0.918256,-0.325984,0.900158,-0.252866,-0.91116,1.32849,-0.294365,-0.988627
-311.826,0.991357,0.102854,5,31,0,318.229,0.162347,-0.0284457,-0.458125,-0.250139,0.673655,0.973121,0.664839,1.115,-0.50746,-0.660954,-0.243953,-0.854524,-0.311463,0.943486,-0.425885,-0.93864,1.4651,-0.249284,-1.08741
