# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.11757
# Diagonal elements of inverse mass matrix:
# 0.0136173, 0.0138888, 0.0118749, 0.013463, 0.0126246, 0.0781819, 0.0702101, 0.0615243, 0.246044, 0.26055, 0.274179, 0.261449, 0.237412, 0.233385, 0.286068, 0.347396, 0.353434, 0.388187, 0.484964
-312.972,0.879241,0.11757,6,63,0,321.99,0.0238732,0.0301674,-0.666752,-0.246885,0.546701,1.10204,1.12143,0.892554,0.182671,-0.17748,0.607024,0.0950497,0.0394852,1.82435,-0.120824,-2.73478,-0.536943,-1.57426,-0.683652
-313.443,0.992974,0.11757,5,31,0,321.959,0.211775,0.140555,-0.187204,-0.0812787,0.437266,1.79613,0.888649,0.67548,0.323605,0.329986,0.244026,-1.59842,-1.15795,0.705159,-0.626904,-2.01572,0.601842,-1.44926,-1.08124
-313.78,0.982463,0.11757,5,31,0,320.481,0.0985439,-0.0681988,-0.708367,-0.100236,0.405808,0.867563,1.35007,1.00589,0.462484,0.144765,0.488276,-1.11128,-0.894373,0.796627,-0.661086,-0.982592,1.66541,-0.621199,-1.70759
-316.71,0.994841,0.11757,6,63,0,322.67,0.0425903,0.0918078,-0.564579,-0.209298,0.612316,0.793022,1.23572,1.09867,-0.587002,-0.94084,-0.752847,-1.01782,0.256665,1.61152,0.105821,-0.986116,0.897618,-0.764919,-0.988973
-315.447,0.999987,0.11757,5,63,0,323.223,0.312536,0.0265354,-0.472755,-0.0591634,0.600019,1.43539,1.16341,0.955924,-1.1049,-1.01523,-0.724756,0.88162,-0.245725,1.66505,0.135095,-1.54388,0.700203,-0.801504,-0.977394
-316.968,0.879837,0.11757,6,63,0,326.243,0.0511301,0.162727,-0.424618,-0.306561,0.274946,1.09251,0.955442,0.930255,0.0501843,0.22203,0.0951608,-0.383426,-1.0994,0.676531,-0.593511,-2.23308,0.843952,-0.956822,-0.659957
-316.203,0.990148,0.11757,6,63,0,324.003,0.248296,0.00226505,-0.419159,-0.0968104,0.589129,1.54486,1.25107,0.798632,0.276816,0.482975,0.598656,-0.191221,-0.826474,0.826097,-0.44724,-1.48391,1.61781,-0.667232,-2.19521
-316.565,0.94744,0.11757,5,63,0,326.476,0.174128,0.163779,-0.412293,-0.231383,0.535109,1.23483,0.860171,0.49113,0.295131,0.0606492,0.362696,-1.76084,-0.776863,0.885268,-1.17345,-1.41061,1.62785,0.0988803,-1.48895
-308.907,0.982065,0.11757,5,31,0,324.04,0.0733095,0.112755,-0.446828,-0.110806,0.415175,1.44754,1.5332,0.999241,0.506481,0.345792,0.50362,-0.872841,-1.13855,0.793246,-0.52785,-1.15335,1.02768,-0.496451,-1.9887
-307.1,0.986301,0.11757,5,31,0,313.944,0.186911,-0.0472994,-0.340708,-0.196741,0.447455,0.914609,0.919415,0.905411,0.329597,0.0905388,0.297032,-1.30627,-1.03311,0.586001,-0.872314,-1.4525,0.730655,-0.822675,-0.732583
